Name,Location 1,Latitude,Longitude
B1,"(47.7097756394592, -122.370990523069)",47.70978,-122.37099
B2,"(47.6790521901374, -122.391748391741)",47.67905,-122.39175
B3,"(47.6812920482227, -122.364236159741)",47.68129,-122.36424
C1,"(47.6342500180223, -122.315684762418)",47.63425,-122.31568
C2,"(47.6192385752996, -122.313557430551)",47.61924,-122.31356
C3,"(47.6300792887474, -122.292087128251)",47.63008,-122.29209
CITYWIDE,"(47.6210041048652, -122.332993498998)",47.62100,-122.33299
D1,"(47.6274421308028, -122.345705781837)",47.62744,-122.34571
D2,"(47.6256548876049, -122.331370005506)",47.62565,-122.33137
D3,"(47.6103493249325, -122.328653706199)",47.61035,-122.32865
E,"(47.6201542748144, -122.304782602556)",47.62015,-122.30478
E1,"(47.6203486882073, -122.324419823241)",47.62035,-122.32442
E2,"(47.6118432671102, -122.32016086571)",47.61184,-122.32016
E3,"(47.603162336406, -122.319319689671)",47.60316,-122.31932
F1,"(47.5484146593035, -122.354809670155)",47.54841,-122.35481
F2,"(47.5254502461741, -122.365817548329)",47.52545,-122.36582
F3,"(47.5261052985115, -122.336388313318)",47.52611,-122.33639
G1,"(47.6091373306494, -122.307899616793)",47.60914,-122.30790
G2,"(47.5958952989518, -122.306633195511)",47.59590,-122.30663
G3,"(47.6031821881675, -122.292398835358)",47.60318,-122.29240
J1,"(47.676809900774, -122.337899655521)",47.67681,-122.33790
J2,"(47.6613374516723, -122.363818988307)",47.66134,-122.36382
J3,"(47.6563781774877, -122.336468775341)",47.65638,-122.33647
K1,"(47.6077552981764, -122.334107460638)",47.60776,-122.33411
K2,"(47.5998930290529, -122.326813620856)",47.59989,-122.32681
K3,"(47.5903972078525, -122.333545010682)",47.59040,-122.33355
L1,"(47.7265488817709, -122.302631931191)",47.72655,-122.30263
L2,"(47.7095588837442, -122.303661007867)",47.70956,-122.30366
L3,"(47.6808531540255, -122.277032733938)",47.68085,-122.27703
M1,"(47.6157584422587, -122.350867935301)",47.61576,-122.35087
M2,"(47.6146150193586, -122.340275405136)",47.61462,-122.34028
M3,"(47.6077571617787, -122.340896390036)",47.60776,-122.34090
N,"(47.6902980120839, -122.328757390104)",47.69030,-122.32876
N1,"(47.7226875390406, -122.340459039106)",47.72269,-122.34046
N2,"(47.698470493249, -122.351867710243)",47.69847,-122.35187
N3,"(47.7045005246442, -122.329961214037)",47.70450,-122.32996
O1,"(47.5822859359213, -122.311799603309)",47.58229,-122.31180
O2,"(47.5656855826482, -122.330941962362)",47.56569,-122.33094
O3,"(47.5345836385751, -122.303020266287)",47.53458,-122.30302
Q1,"(47.650261230265, -122.400003042555)",47.65026,-122.40000
Q2,"(47.6428529450151, -122.362673076853)",47.64285,-122.36267
Q3,"(47.6269804063179, -122.362807276708)",47.62698,-122.36281
R1,"(47.5758114569194, -122.288707022144)",47.57581,-122.28871
R2,"(47.562285343514, -122.304240734006)",47.56229,-122.30424
R3,"(47.5527951110333, -122.268210782218)",47.55280,-122.26821
S1,"(47.5439339496481, -122.286476209963)",47.54393,-122.28648
S2,"(47.5263519484816, -122.274095175041)",47.52635,-122.27410
S3,"(47.5093533353672, -122.259542630385)",47.50935,-122.25954
SE,"(47.5476766838051, -122.284789228904)",47.54768,-122.28479
SW,"(47.5478566154038, -122.361787408364)",47.54786,-122.36179
U1,"(47.6848677676269, -122.309913082907)",47.68487,-122.30991
U2,"(47.6585545300635, -122.30659481859)",47.65855,-122.30659
U3,"(47.6660083487855, -122.312204733721)",47.66601,-122.31220
W,"(47.6300237833357, -122.368053164444)",47.63002,-122.36805
W1,"(47.5788164080083, -122.378814011668)",47.57882,-122.37881
W2,"(47.5607068301888, -122.386946475037)",47.56071,-122.38695
W3,"(47.5255479889804, -122.384581696918)",47.52555,-122.38458
